,open_price,high_price,low_price,close_price,date_price,volume
11,0.509792,0.511802,0.50974,0.511802,2023-04-02 21:30:00,1684165309.3857431
11,0.509792,0.511802,0.50974,0.511802,2023-04-02 21:30:00,1685496145.7090995
11,0.509792,0.511802,0.50974,0.511802,2023-04-02 21:30:00,1686979715.0477378
12,0.511521,0.513767,0.511521,0.513767,2023-04-02 22:00:00,1686465317.2264576
12,0.511521,0.513767,0.511521,0.513767,2023-04-02 22:00:00,1688159793.9428601
12,0.511521,0.513767,0.511521,0.513767,2023-04-02 22:00:00,1688284813.814845
12,0.511521,0.513767,0.511521,0.513767,2023-04-02 22:00:00,1689400017.2792888
12,0.511521,0.513767,0.511521,0.513767,2023-04-02 22:00:00,1689163052.2495005
12,0.511521,0.513767,0.511521,0.513767,2023-04-02 22:00:00,1688547606.915703
13,0.513754,0.514269,0.512382,0.512382,2023-04-02 22:30:00,1690035452.0992122
13,0.513754,0.514269,0.512382,0.512382,2023-04-02 22:30:00,1692611818.1763842
13,0.513754,0.514269,0.512382,0.512382,2023-04-02 22:30:00,1688957012.5671506
13,0.513754,0.514269,0.512382,0.512382,2023-04-02 22:30:00,1691069049.7485318
13,0.513754,0.514269,0.512382,0.512382,2023-04-02 22:30:00,1693164392.397492
13,0.513754,0.514269,0.512382,0.512382,2023-04-02 22:30:00,1692383265.0513718
14,0.512841,0.513507,0.511598,0.512156,2023-04-02 23:00:00,1695212283.942641
14,0.512841,0.513507,0.511598,0.512156,2023-04-02 23:00:00,1693774722.2787662
14,0.512841,0.513507,0.511598,0.512156,2023-04-02 23:00:00,1692732924.1829762
14,0.512841,0.513507,0.511598,0.512156,2023-04-02 23:00:00,1692477328.8327508
14,0.512841,0.513507,0.511598,0.512156,2023-04-02 23:00:00,1694929043.6647284
14,0.512841,0.513507,0.511598,0.512156,2023-04-02 23:00:00,1693645409.993024
15,0.512819,0.512839,0.511074,0.511074,2023-04-02 23:30:00,1694392469.2918298
15,0.512819,0.512839,0.511074,0.511074,2023-04-02 23:30:00,1695878694.7136266
15,0.512819,0.512839,0.511074,0.511074,2023-04-02 23:30:00,1693979532.965648
15,0.512819,0.512839,0.511074,0.511074,2023-04-02 23:30:00,1693069336.4857125
15,0.512819,0.512839,0.511074,0.511074,2023-04-02 23:30:00,1687671913.7993128
15,0.512819,0.512839,0.511074,0.511074,2023-04-02 23:30:00,1688546503.7087402
16,0.511319,0.512589,0.510637,0.510839,2023-04-03 00:00:00,1687736801.440948
16,0.511319,0.512589,0.510637,0.510839,2023-04-03 00:00:00,1687376057.5968385
16,0.511319,0.512589,0.510637,0.510839,2023-04-03 00:00:00,1686792996.696214
16,0.511319,0.512589,0.510637,0.510839,2023-04-03 00:00:00,1686741669.204941
16,0.511319,0.512589,0.510637,0.510839,2023-04-03 00:00:00,1688201801.2351873
16,0.511319,0.512589,0.510637,0.510839,2023-04-03 00:00:00,1688573636.884592
17,0.510492,0.511131,0.508825,0.508825,2023-04-03 00:30:00,1689144892.0697453
17,0.510492,0.511131,0.508825,0.508825,2023-04-03 00:30:00,1693404438.398736
17,0.510492,0.511131,0.508825,0.508825,2023-04-03 00:30:00,1693291539.8033488
17,0.510492,0.511131,0.508825,0.508825,2023-04-03 00:30:00,1691913550.114851
17,0.510492,0.511131,0.508825,0.508825,2023-04-03 00:30:00,1692679099.6823003
17,0.510492,0.511131,0.508825,0.508825,2023-04-03 00:30:00,1692248086.0786903
18,0.509948,0.511631,0.509948,0.511631,2023-04-03 01:00:00,1692035590.9851663
18,0.509948,0.511631,0.509948,0.511631,2023-04-03 01:00:00,1690416351.9779932
18,0.509948,0.511631,0.509948,0.511631,2023-04-03 01:00:00,1693532649.3746333
18,0.509948,0.511631,0.509948,0.511631,2023-04-03 01:00:00,1694757597.9798262
18,0.509948,0.511631,0.509948,0.511631,2023-04-03 01:00:00,1696697462.2241182
18,0.509948,0.511631,0.509948,0.511631,2023-04-03 01:00:00,1698992346.3092499
19,0.512553,0.514333,0.512553,0.514333,2023-04-03 01:30:00,1701392020.0595508
19,0.512553,0.514333,0.512553,0.514333,2023-04-03 01:30:00,1701134701.5938516
19,0.512553,0.514333,0.512553,0.514333,2023-04-03 01:30:00,1702816672.629114
19,0.512553,0.514333,0.512553,0.514333,2023-04-03 01:30:00,1704145950.107934
19,0.512553,0.514333,0.512553,0.514333,2023-04-03 01:30:00,1704823526.3352492
19,0.512553,0.514333,0.512553,0.514333,2023-04-03 01:30:00,1709816460.4247394
20,0.515104,0.515104,0.513495,0.514626,2023-04-03 02:00:00,1713455123.4194205
20,0.515104,0.515104,0.513495,0.514626,2023-04-03 02:00:00,1721747894.7892623
